loc,longitude,latitude,year,date,gens,DD_vince,jd_vince,obsp,predict,moths,cumoths,dataset
3010,-119.1566467,35.50721359,2013,7/31/2013,2,1147,212,0.078101069,0.096601434,25.5,25.5,1
3010,-119.1566467,35.50721359,2013,8/7/2013,2,1213,219,0.228177637,0.188007414,49,74.5,1
3010,-119.1566467,35.50721359,2013,8/14/2013,2,1282,226,0.473200619,0.345158577,80,154.5,1
3010,-119.1566467,35.50721359,2013,8/21/2013,2,1340,233,0.641653895,0.525971353,55,209.5,1
3010,-119.1566467,35.50721359,2013,8/28/2013,2,1403,240,0.718223572,0.736618459,25,234.5,1
3010,-119.1566467,35.50721359,2013,9/4/2013,2,1465,247,0.872894347,0.902546883,50.5,285,1
3061,-119.1651688,35.50902557,2013,3/27/2013,0,170,86,0.080459774,0.153438404,6.5,10.5,1
3061,-119.1651688,35.50902557,2013,4/3/2013,0,207,93,0.298850566,0.267340124,28.5,39,1
3061,-119.1651688,35.50902557,2013,4/10/2013,0,237,100,0.440613031,0.37724641,18.5,57.5,1
3061,-119.1651688,35.50902557,2013,4/17/2013,0,271,107,0.57854408,0.513658822,18,75.5,1
3061,-119.1651688,35.50902557,2013,4/24/2013,0,326,114,0.674329519,0.725539029,12.5,88,1
3061,-119.1651688,35.50902557,2013,5/1/2013,0,391,121,0.731800795,0.898597598,7.5,95.5,1
3061,-119.1651688,35.50902557,2013,5/8/2013,0,439,128,0.911877394,0.962465703,23.5,119,1
3071,-119.9717484,35.65095139,2013,3/20/2013,0,128,79,0.061166428,0.065794013,41.5,43,1
3071,-119.9717484,35.65095139,2013,3/27/2013,0,151,86,0.108819343,0.108373828,33.5,76.5,1
3071,-119.9717484,35.65095139,2013,4/3/2013,0,181,93,0.220483646,0.184948996,78.5,155,1
3071,-119.9717484,35.65095139,2013,4/10/2013,0,211,100,0.310099572,0.281502455,63,218,1
3071,-119.9717484,35.65095139,2013,4/17/2013,0,239,107,0.416073978,0.384134591,74.5,292.5,1
3071,-119.9717484,35.65095139,2013,4/24/2013,0,284,114,0.481507838,0.565800786,46,338.5,1
3071,-119.9717484,35.65095139,2013,5/1/2013,0,338,121,0.636557639,0.764010847,109,447.5,1
3071,-119.9717484,35.65095139,2013,5/8/2013,0,381,128,0.738264561,0.878202677,71.5,519,1
3071,-119.9717484,35.65095139,2013,5/15/2013,0,446,135,0.835704148,0.968158424,68.5,587.5,1
3071,-119.9717484,35.65095139,2013,8/7/2013,2,1170,219,0.19577308,0.122555338,88,88,1
3071,-119.9717484,35.65095139,2013,8/14/2013,2,1236,226,0.381535053,0.231945381,83.5,171.5,1
3071,-119.9717484,35.65095139,2013,8/21/2013,2,1304,233,0.546162426,0.407620788,74,245.5,1
3071,-119.9717484,35.65095139,2013,8/28/2013,2,1377,240,0.72302556,0.652234554,79.5,325,1
3071,-119.9717484,35.65095139,2013,9/4/2013,2,1442,247,0.839822054,0.851379931,52.5,377.5,1
3071,-119.9717484,35.65095139,2013,9/18/2013,3,1575,261,0.115044251,0.11141365,58.5,58.5,1
3071,-119.9717484,35.65095139,2013,9/26/2013,3,1629,269,0.27826941,0.194775507,83,141.5,1
3071,-119.9717484,35.65095139,2013,10/2/2013,3,1669,275,0.456243843,0.286430985,90.5,232,1
3071,-119.9717484,35.65095139,2013,10/9/2013,3,1709,282,0.640118003,0.405206859,93.5,325.5,1
3071,-119.9717484,35.65095139,2013,10/16/2013,3,1745,289,0.781710923,0.531583548,72,397.5,1
3071,-119.9717484,35.65095139,2013,10/23/2013,3,1788,296,0.90560472,0.691669106,63,460.5,1
3071,-119.9717484,35.65095139,2013,3/27/2013,0,151,86,0.089312978,0.108373828,34.5,58.5,1
3071,-119.9717484,35.65095139,2013,4/3/2013,0,181,93,0.181679383,0.184948996,60.5,119,1
3071,-119.9717484,35.65095139,2013,4/10/2013,0,211,100,0.290839702,0.281502455,71.5,190.5,1
3071,-119.9717484,35.65095139,2013,4/17/2013,0,239,107,0.425190836,0.384134591,88,278.5,1
3071,-119.9717484,35.65095139,2013,4/24/2013,0,284,114,0.525954187,0.565800786,66,344.5,1
3071,-119.9717484,35.65095139,2013,5/1/2013,0,338,121,0.628244281,0.764010847,67,411.5,1
3071,-119.9717484,35.65095139,2013,5/8/2013,0,381,128,0.771755755,0.878202677,94,505.5,1
3071,-119.9717484,35.65095139,2013,5/15/2013,0,446,135,0.884732842,0.968158424,74,579.5,1
3071,-119.9717484,35.65095139,2013,6/5/2013,1,592,156,0.179176763,0.112358741,37,37,1
3071,-119.9717484,35.65095139,2013,6/12/2013,1,661,163,0.225181594,0.198459074,9.5,46.5,1
3071,-119.9717484,35.65095139,2013,6/19/2013,1,716,170,0.346246988,0.293010384,25,71.5,1
3071,-119.9717484,35.65095139,2013,6/26/2013,1,779,177,0.467312336,0.427203864,25,96.5,1
3071,-119.9717484,35.65095139,2013,7/3/2013,1,835,184,0.535108984,0.560979903,14,110.5,1
3071,-119.9717484,35.65095139,2013,7/10/2013,1,902,191,0.595641673,0.717496455,12.5,123,1
3071,-119.9717484,35.65095139,2013,7/16/2013,1,961,197,0.636803865,0.836400032,8.5,131.5,1
3071,-119.9717484,35.65095139,2013,7/24/2013,1,1045,205,0.753026605,0.944527388,24,155.5,1
3071,-119.9717484,35.65095139,2013,8/7/2013,2,1170,219,0.114722751,0.122555338,60,60,1
3071,-119.9717484,35.65095139,2013,8/14/2013,2,1236,226,0.289674938,0.231945381,91.5,151.5,1
3071,-119.9717484,35.65095139,2013,8/21/2013,2,1304,233,0.505736113,0.407620788,113,264.5,1
3071,-119.9717484,35.65095139,2013,8/28/2013,2,1377,240,0.730401516,0.652234554,117.5,382,1
3071,-119.9717484,35.65095139,2013,9/4/2013,2,1442,247,0.839388132,0.851379931,57,439,1
3071,-119.9717484,35.65095139,2013,9/18/2013,3,1575,261,0.112499997,0.11141365,76.5,76.5,1
3071,-119.9717484,35.65095139,2013,9/26/2013,3,1629,269,0.235294119,0.194775507,83.5,160,1
3071,-119.9717484,35.65095139,2013,10/2/2013,3,1669,275,0.391911775,0.286430985,106.5,266.5,1
3071,-119.9717484,35.65095139,2013,10/9/2013,3,1709,282,0.592647076,0.405206859,136.5,403,1
3071,-119.9717484,35.65095139,2013,10/16/2013,3,1745,289,0.732352912,0.531583548,95,498,1
3071,-119.9717484,35.65095139,2013,10/23/2013,3,1788,296,0.885294139,0.691669106,104,602,1
3141,-119.1556549,35.64027786,2013,3/20/2013,0,137,79,0.07526882,0.080869123,12.5,14,1
3141,-119.1556549,35.64027786,2013,3/27/2013,0,161,86,0.145161286,0.132590696,13,27,1
3141,-119.1556549,35.64027786,2013,4/3/2013,0,198,93,0.279569894,0.236749873,25,52,1
3141,-119.1556549,35.64027786,2013,4/10/2013,0,227,100,0.279569894,0.338703483,0,52,1
3141,-119.1556549,35.64027786,2013,4/17/2013,0,260,107,0.295698911,0.471301913,3,55,1
3141,-119.1556549,35.64027786,2013,4/24/2013,0,315,114,0.459677428,0.685304284,30.5,85.5,1
3141,-119.1556549,35.64027786,2013,5/1/2013,0,380,121,0.629032254,0.875809848,31.5,117,1
3141,-119.1556549,35.64027786,2013,5/8/2013,0,427,128,0.84946239,0.95118475,41,158,1
3141,-119.1556549,35.64027786,2013,5/15/2013,0,489,135,0.924731195,0.990148664,14,172,1
3141,-119.1556549,35.64027786,2013,6/5/2013,1,651,156,0.233644858,0.183128178,20.5,25,1
3141,-119.1556549,35.64027786,2013,6/12/2013,1,710,163,0.271028042,0.28138575,4,29,1
