Date,Flight,Crop,Ranch,Males
3/18/2011,1,Almond,323,0
3/18/2011,1,Almond,323,1
3/18/2011,1,Almond,338,0
3/18/2011,1,Almond,339,2
3/18/2011,1,Almond,320,1
3/18/2011,1,Almond,374,0
3/18/2011,1,Almond,374,0
3/18/2011,1,Almond,374,2
3/18/2011,1,Almond,377,0
3/18/2011,1,Almond,379,3
3/18/2011,1,Almond,379,2
3/18/2011,1,Almond,381,12
3/18/2011,1,Almond,386,0
3/18/2011,1,Almond,3341,5
3/18/2011,1,Almond,387,0
3/18/2011,1,Almond,387,8
3/18/2011,1,Almond,3961,5
3/18/2011,1,Almond,3131,0
3/18/2011,1,Pistachio,417,79
3/18/2011,1,Pistachio,419,84
3/18/2011,1,Pistachio,437,71
3/18/2011,1,Pistachio,466,92
3/18/2011,1,Pistachio,475,16
3/18/2011,1,Pistachio,477,71
3/18/2011,1,Almond,3061,0
3/18/2011,1,Almond,3631,0
3/18/2011,1,Almond,3881,1
3/18/2011,1,Almond,3141,1
3/18/2011,1,Almond,301,0
3/18/2011,1,Almond,311,0
3/18/2011,1,Almond,351,6
3/18/2011,1,Almond,353,2
3/18/2011,1,Almond,362,0
3/18/2011,1,Almond,364,0
3/18/2011,1,Almond,394,0
3/18/2011,1,Almond,3151,0
3/18/2011,1,Almond,397,0
3/18/2011,1,Almond,368,0
3/18/2011,1,Almond,384,0
3/18/2011,1,Pistachio,422,40
3/18/2011,1,Pistachio,426,21
3/18/2011,1,Almond,349,2
3/18/2011,1,Almond,349,3
3/18/2011,1,Pistachio,412,58
3/18/2011,1,Pistachio,416,8
3/18/2011,1,Pistachio,430,57
3/18/2011,1,Pistachio,434,65
3/18/2011,1,Pistachio,435,36
3/18/2011,1,Pistachio,435,63
3/18/2011,1,Pistachio,441,7
3/18/2011,1,Pistachio,457,33
3/18/2011,1,Pistachio,463,42
3/18/2011,1,Pistachio,411,23
3/18/2011,1,Almond,3071,1
3/18/2011,1,Almond,3071,1
3/18/2011,1,Pistachio,405,54
3/18/2011,1,Pistachio,407,69
3/18/2011,1,Pistachio,423,7
3/18/2011,1,Pistachio,424,6
3/18/2011,1,Pistachio,433,12
3/18/2011,1,Pistachio,440,24
3/18/2011,1,Pistachio,445,81
3/18/2011,1,Pistachio,447,11
3/18/2011,1,Pistachio,480,12
3/23/2011,1,Almond,323,0
3/23/2011,1,Almond,323,0
3/23/2011,1,Almond,338,0
3/23/2011,1,Almond,339,0
3/23/2011,1,Almond,320,0
3/23/2011,1,Almond,374,0
3/23/2011,1,Almond,374,0
3/23/2011,1,Almond,374,0
3/23/2011,1,Almond,377,0
3/23/2011,1,Almond,379,0
3/23/2011,1,Almond,379,0
3/23/2011,1,Almond,381,0
3/23/2011,1,Almond,386,0
3/23/2011,1,Almond,3341,0
3/23/2011,1,Almond,387,0
3/23/2011,1,Almond,387,0
3/23/2011,1,Almond,3961,0
3/23/2011,1,Almond,3131,0
3/23/2011,1,Pistachio,417,18
3/23/2011,1,Pistachio,419,3
3/23/2011,1,Pistachio,437,0
3/23/2011,1,Pistachio,466,0
3/23/2011,1,Pistachio,475,0
3/23/2011,1,Pistachio,477,0
3/23/2011,1,Almond,3061,0
3/23/2011,1,Almond,3631,0
3/23/2011,1,Almond,3881,0
3/23/2011,1,Almond,3141,0
3/23/2011,1,Almond,301,0
3/23/2011,1,Almond,311,0
3/23/2011,1,Almond,351,0
3/23/2011,1,Almond,353,0
3/23/2011,1,Almond,362,0
3/23/2011,1,Almond,364,0
3/23/2011,1,Almond,394,0
3/23/2011,1,Almond,3151,0
3/23/2011,1,Almond,397,0
3/23/2011,1,Almond,368,0
3/23/2011,1,Almond,384,0
3/23/2011,1,Pistachio,422,0
3/23/2011,1,Pistachio,426,0
3/23/2011,1,Almond,349,0
3/23/2011,1,Almond,349,0
3/23/2011,1,Pistachio,412,9
3/23/2011,1,Pistachio,416,0
3/23/2011,1,Pistachio,430,0
3/23/2011,1,Pistachio,434,0
3/23/2011,1,Pistachio,435,0
3/23/2011,1,Pistachio,435,0
3/23/2011,1,Pistachio,441,0
3/23/2011,1,Pistachio,457,11
3/23/2011,1,Pistachio,463,5
3/23/2011,1,Pistachio,411,0
3/23/2011,1,Almond,3071,0
3/23/2011,1,Almond,3071,0
3/23/2011,1,Pistachio,405,0
3/23/2011,1,Pistachio,407,0
3/23/2011,1,Pistachio,423,0
3/23/2011,1,Pistachio,424,0
3/23/2011,1,Pistachio,433,0
3/23/2011,1,Pistachio,440,0
3/23/2011,1,Pistachio,445,0
3/23/2011,1,Pistachio,447,0
3/23/2011,1,Pistachio,480,0
3/30/2011,1,Almond,323,0
3/30/2011,1,Almond,323,0
3/30/2011,1,Almond,338,0
3/30/2011,1,Almond,339,0
3/30/2011,1,Almond,320,0
3/30/2011,1,Almond,374,0
3/30/2011,1,Almond,374,0
3/30/2011,1,Almond,374,0
3/30/2011,1,Almond,377,0
3/30/2011,1,Almond,379,0
3/30/2011,1,Almond,379,0
3/30/2011,1,Almond,381,0
3/30/2011,1,Almond,386,0
3/30/2011,1,Almond,3341,0
3/30/2011,1,Almond,387,0
3/30/2011,1,Almond,387,1
3/30/2011,1,Almond,3961,0
3/30/2011,1,Almond,3131,0
3/30/2011,1,Pistachio,417,32
3/30/2011,1,Pistachio,419,2
3/30/2011,1,Pistachio,437,3
3/30/2011,1,Pistachio,466,2
3/30/2011,1,Pistachio,475,2
3/30/2011,1,Pistachio,477,13
3/30/2011,1,Almond,3061,0
3/30/2011,1,Almond,3631,0
3/30/2011,1,Almond,3881,0
3/30/2011,1,Almond,3141,0
3/30/2011,1,Almond,301,0
3/30/2011,1,Almond,311,0
3/30/2011,1,Almond,351,0
3/30/2011,1,Almond,353,0
3/30/2011,1,Almond,362,0
3/30/2011,1,Almond,364,0
3/30/2011,1,Almond,394,0
